date,binary_target_net_income,prob_down,prob_up,net_prob_score,window,cid,return_1q,year,decile_bin,decile_id
2023-08-02,0,0.9894478,0.010552208,-0.97889555,2019-2024,SP-185956,0.0993312732696408,2023,0,0
2023-05-03,0,0.9182994,0.081700645,-0.83659875,2019-2024,SP-001262,-0.0281575989655253,2023,1,1
2023-08-10,1,0.94131136,0.05868864,-0.8826227,2019-2024,SP-001263,-0.0183239704583373,2023,1,1
2023-07-27,0,0.9338628,0.06613721,-0.8677256,2019-2024,SP-002698,-0.0590481140244805,2023,1,1
2023-11-09,1,0.94064844,0.059351552,-0.8812969,2019-2024,SP-008870,0.0944679770817137,2023,1,1
2023-03-09,0,0.92781246,0.07218755,-0.8556249,2019-2024,SP-009215,0.0434337398164711,2023,1,1
2023-04-26,0,0.94119215,0.058807887,-0.88238424,2019-2024,SP-009215,-0.0032191430083241,2023,1,1
2023-07-26,0,0.93949044,0.060509592,-0.8789809,2019-2024,SP-009215,-0.173424697392485,2023,1,1
2023-02-21,0,0.9241744,0.07582563,-0.8483488,2019-2024,SP-010385,0.5122407873320974,2023,1,1
2023-04-25,0,0.96312743,0.036872618,-0.9262548,2019-2024,SP-010385,-0.2961763248744051,2023,1,1
2023-04-26,0,0.92365706,0.076342925,-0.8473141,2019-2024,SP-010385,-0.2961763248744051,2023,1,1
2023-11-08,0,0.9477026,0.052297384,-0.8954052,2019-2024,SP-012198,-0.1860751785084134,2023,1,1
2023-03-10,0,0.9075754,0.09242455,-0.81515086,2019-2024,SP-013971,0.228656251679076,2023,1,1
2023-04-26,0,0.9453354,0.054664694,-0.8906707,2019-2024,SP-013971,-0.10957713873086,2023,1,1
2023-02-28,0,0.9158634,0.08413656,-0.83172685,2019-2024,SP-014042,-0.0278882172861345,2023,1,1
2023-08-03,0,0.9308963,0.06910369,-0.86179256,2019-2024,SP-014078,-0.2754404131795688,2023,1,1
2023-04-28,0,0.9093569,0.09064315,-0.8187137,2019-2024,SP-014353,,2023,1,1
2023-10-27,1,0.9622973,0.03770268,-0.92459464,2019-2024,SP-014390,0.0732512205973629,2023,1,1
2023-03-02,1,0.9511364,0.04886352,-0.9022729,2019-2024,SP-014433,0.0285795240379661,2023,1,1
2023-04-27,0,0.9518856,0.04811438,-0.9037712,2019-2024,SP-014433,-0.0631792137369934,2023,1,1
2023-10-26,0,0.9208306,0.07916939,-0.8416612,2019-2024,SP-014433,0.2044109952623278,2023,1,1
2023-03-02,0,0.9597348,0.04026517,-0.91946965,2019-2024,SP-015055,-0.0125238677144585,2023,1,1
2023-03-22,0,0.9361483,0.06385164,-0.87229663,2019-2024,SP-015055,-0.0125238677144585,2023,1,1
2023-05-04,0,0.9555079,0.044492178,-0.9110157,2019-2024,SP-015055,0.0136762536581179,2023,1,1
2023-08-03,0,0.95870876,0.041291267,-0.9174175,2019-2024,SP-015055,0.1884497815935005,2023,1,1
2023-03-06,0,0.9123026,0.08769739,-0.8246052,2019-2024,SP-015070,-0.0110789010204694,2023,1,1
2023-05-08,0,0.9482972,0.05170276,-0.89659446,2019-2024,SP-015070,-0.059107222683761,2023,1,1
2023-08-14,1,0.95683753,0.043162443,-0.91367507,2019-2024,SP-015070,0.2075911189184519,2023,1,1
2023-08-03,1,0.9088408,0.09115927,-0.8176815,2019-2024,SP-015704,-0.0785528836746164,2023,1,1
2023-11-02,1,0.92574215,0.07425783,-0.8514843,2019-2024,SP-015704,0.1800685868866173,2023,1,1
2023-11-07,1,0.9283172,0.071682796,-0.8566344,2019-2024,SP-016426,0.1710603803695011,2023,1,1
2023-02-15,0,0.94671476,0.053285234,-0.8934295,2019-2024,SP-016582,-0.0080325902425529,2023,1,1
2023-05-10,0,0.94608605,0.05391402,-0.89217204,2019-2024,SP-016582,-0.1885051692472745,2023,1,1
2023-03-03,0,0.9242771,0.07572288,-0.84855425,2019-2024,SP-017449,-0.0739707570590514,2023,1,1
2023-11-09,0,0.96350706,0.036492873,-0.9270142,2019-2024,SP-017449,-0.1806213002357017,2023,1,1
2023-02-15,1,0.9220022,0.07799771,-0.8440045,2019-2024,SP-018296,-0.0281777360308127,2023,1,1
2023-04-27,1,0.91524523,0.084754735,-0.83049047,2019-2024,SP-020695,-0.0648946486336007,2023,1,1
2023-07-27,0,0.9325086,0.06749151,-0.86501706,2019-2024,SP-020695,0.4304641783642333,2023,1,1
2023-10-26,1,0.9619091,0.038090914,-0.92381823,2019-2024,SP-020695,-0.2115243359968428,2023,1,1
2023-05-09,0,0.95025665,0.049743354,-0.9005133,2019-2024,SP-020918,-0.0730716335646306,2023,1,1
2023-08-08,0,0.9555435,0.04445654,-0.911087,2019-2024,SP-020918,-0.0146813877884238,2023,1,1
2023-05-02,1,0.91069585,0.08930414,-0.8213917,2019-2024,SP-022402,0.2042215554248055,2023,1,1
2023-05-04,0,0.9085293,0.09147078,-0.8170585,2019-2024,SP-024116,0.0880966099207126,2023,1,1
2023-07-27,0,0.9484333,0.05156668,-0.8968666,2019-2024,SP-024116,-0.0301614528519901,2023,1,1
2023-08-03,0,0.9539812,0.046018757,-0.90796244,2019-2024,SP-024116,-0.0301614528519901,2023,1,1
2023-10-26,0,0.9278944,0.07210558,-0.8557888,2019-2024,SP-024116,0.1145043232138471,2023,1,1
2023-11-02,0,0.9356219,0.064378045,-0.8712439,2019-2024,SP-024116,0.1145043232138471,2023,1,1
2023-11-07,0,0.94593894,0.054061055,-0.8918779,2019-2024,SP-024200,0.2123745842176048,2023,1,1
2023-03-02,0,0.9629391,0.037060957,-0.9258781,2019-2024,SP-025304,0.0189944422185468,2023,1,1
2023-05-08,0,0.9538643,0.04613576,-0.9077285,2019-2024,SP-025304,0.2137047524743368,2023,1,1
2023-08-10,0,0.9547518,0.045248218,-0.9095036,2019-2024,SP-025304,-0.188324989312443,2023,1,1
2023-05-03,0,0.9186676,0.08133235,-0.8373353,2019-2024,SP-025507,-0.0466065018421136,2023,1,1
2023-02-23,0,0.91378784,0.086212054,-0.8275758,2019-2024,SP-027265,-0.1598330252446059,2023,1,1
2023-04-27,0,0.9584079,0.04159222,-0.91681564,2019-2024,SP-027265,0.134576096777798,2023,1,1
2023-07-27,0,0.94539946,0.054600485,-0.890799,2019-2024,SP-027265,0.0635771583099123,2023,1,1
2023-10-26,0,0.94693696,0.053063005,-0.89387393,2019-2024,SP-027265,-0.0672322757739143,2023,1,1
2023-05-15,1,0.92501754,0.07498252,-0.850035,2019-2024,SP-027355,-0.2522001765916225,2023,1,1
2023-11-14,1,0.94086856,0.059131466,-0.8817371,2019-2024,SP-027355,0.1812435695885385,2023,1,1
2023-08-02,0,0.92810696,0.07189304,-0.8562139,2019-2024,SP-027519,-0.2457330397333229,2023,1,1
2023-04-13,0,0.9293588,0.070641235,-0.85871756,2019-2024,SP-028555,-0.0534670605554947,2023,1,1
2023-11-01,0,0.9551066,0.044893317,-0.9102133,2019-2024,SP-028555,-0.2080086057851521,2023,1,1
2023-05-04,0,0.9438486,0.05615146,-0.88769716,2019-2024,SP-029135,-0.1460790654873141,2023,1,1
2023-11-01,0,0.9652442,0.03475576,-0.9304884,2019-2024,SP-030075,-0.1739293663818739,2023,1,1
2023-07-20,0,0.92072093,0.07927899,-0.8414419,2019-2024,SP-030927,-0.1415982121693549,2023,1,1
2023-05-02,0,0.9503023,0.04969775,-0.90060455,2019-2024,SP-031056,-0.1964507891638489,2023,1,1
2023-08-01,0,0.9544627,0.045537293,-0.9089254,2019-2024,SP-031056,0.2292046559017376,2023,1,1
2023-10-31,0,0.9395189,0.06048102,-0.8790379,2019-2024,SP-031056,0.2493839136305634,2023,1,1
2023-08-02,0,0.9520137,0.047986362,-0.9040273,2019-2024,SP-031178,0.3521198142743653,2023,1,1
2023-03-07,0,0.92155933,0.07844073,-0.8431186,2019-2024,SP-032564,0.2786566679162676,2023,1,1
2023-08-03,0,0.9427055,0.05729446,-0.885411,2019-2024,SP-032564,-0.163125721211433,2023,1,1
