date,binary_target_cash_operations,proba_class_0,proba_class_1,margin_proba,window,cid
2023-05-12,1,0.010496914,0.9895031,0.9790062,2019-2024,SP-014326
2023-08-10,1,0.011326194,0.9886738,0.9773476,2019-2024,SP-014326
2023-11-10,1,0.1237663,0.8762337,0.7524674,2019-2024,SP-014326
2023-02-14,0,0.96265095,0.037349064,-0.9253019,2019-2024,SP-014330
2023-04-25,0,0.8808078,0.11919217,-0.76161563,2019-2024,SP-014330
2023-07-26,1,0.47643614,0.52356386,0.047127724,2019-2024,SP-014330
2023-10-25,0,0.23806274,0.76193726,0.5238745,2019-2024,SP-014330
2023-05-03,1,0.19611722,0.8038828,0.60776556,2019-2024,SP-014333
2023-08-02,1,0.33249432,0.6675057,0.33501136,2019-2024,SP-014333
2023-11-01,1,0.26927102,0.730729,0.46145797,2019-2024,SP-014333
2023-03-02,1,0.026425362,0.97357464,0.9471493,2019-2024,SP-014352
2023-05-09,1,0.012432694,0.9875673,0.9751346,2019-2024,SP-014352
2023-08-03,1,0.043681264,0.95631874,0.9126375,2019-2024,SP-014352
2023-11-10,1,0.06422961,0.9357704,0.8715408,2019-2024,SP-014352
2024-01-15,0,0.15966433,0.84033567,0.68067133,2019-2024,SP-014352
2023-04-28,0,0.7813896,0.21861044,-0.5627792,2019-2024,SP-014353
2023-05-03,1,0.33474684,0.66525316,0.33050632,2019-2024,SP-014390
2023-08-02,0,0.46035826,0.53964174,0.079283476,2019-2024,SP-014390
2023-10-27,0,0.95677346,0.043226562,-0.9135469,2019-2024,SP-014390
2024-02-09,0,0.89083976,0.109160244,-0.7816795,2019-2024,SP-014390
2023-02-23,1,0.08708221,0.9129178,0.8258356,2019-2024,SP-014391
2023-03-10,1,0.2637304,0.7362696,0.4725392,2019-2024,SP-014391
2023-05-05,1,0.25591385,0.74408615,0.4881723,2019-2024,SP-014391
2023-08-04,1,0.9049343,0.095065735,-0.8098686,2019-2024,SP-014391
2023-11-07,0,0.74679375,0.25320622,-0.49358752,2019-2024,SP-014391
2023-03-02,0,0.2987231,0.7012769,0.4025538,2019-2024,SP-014433
2023-04-27,0,0.5924434,0.4075566,-0.18488681,2019-2024,SP-014433
2023-07-27,0,0.81677794,0.18322203,-0.6335559,2019-2024,SP-014433
2023-10-26,0,0.6343038,0.3656962,-0.26860762,2019-2024,SP-014433
2023-05-01,1,0.06512326,0.93487674,0.8697535,2019-2024,SP-014517
2023-07-27,1,0.04283011,0.9571699,0.9143398,2019-2024,SP-014517
2023-10-30,1,0.010241032,0.98975897,0.97951794,2019-2024,SP-014517
2024-02-05,0,0.03520572,0.9647943,0.92958856,2019-2024,SP-014517
2023-02-14,1,0.32387793,0.67612207,0.35224414,2019-2024,SP-015020
2023-04-27,1,0.5429892,0.4570108,-0.08597839,2019-2024,SP-015020
2023-10-30,1,0.22063154,0.77936846,0.5587369,2019-2024,SP-015020
2023-05-04,0,0.22936755,0.77063245,0.5412649,2019-2024,SP-015038
2023-08-03,1,0.037087083,0.9629129,0.92582583,2019-2024,SP-015038
2023-11-02,0,0.117969036,0.88203096,0.7640619,2019-2024,SP-015038
2024-02-08,0,0.03701085,0.96298915,0.9259783,2019-2024,SP-015038
2023-03-02,1,0.36332005,0.63667995,0.2733599,2019-2024,SP-015042
2023-05-03,0,0.9120641,0.087935954,-0.82412815,2019-2024,SP-015042
2023-08-04,0,0.9707237,0.029276287,-0.9414474,2019-2024,SP-015042
2023-11-01,0,0.966825,0.033174984,-0.93365,2019-2024,SP-015042
2023-05-18,0,0.27712697,0.72287303,0.44574606,2019-2024,SP-015050
2023-08-08,1,0.29482162,0.7051784,0.41035676,2019-2024,SP-015050
2023-11-10,1,0.010123253,0.98987675,0.9797535,2019-2024,SP-015050
2024-02-07,0,0.041588187,0.9584118,0.9168236,2019-2024,SP-015050
2023-03-02,0,0.99464387,0.005356104,-0.98928773,2019-2024,SP-015055
2023-03-22,0,0.99218404,0.007815954,-0.9843681,2019-2024,SP-015055
2023-05-04,0,0.9848597,0.0151403155,-0.9697194,2019-2024,SP-015055
2023-08-03,0,0.950416,0.04958398,-0.90083206,2019-2024,SP-015055
2023-11-02,1,0.42632443,0.5736756,0.14735115,2019-2024,SP-015055
2023-03-16,1,0.10330045,0.89669955,0.7933991,2019-2024,SP-015059
2023-05-10,1,0.11957729,0.8804227,0.7608454,2019-2024,SP-015059
2023-08-10,1,0.20337975,0.79662025,0.5932405,2019-2024,SP-015059
2023-11-08,1,0.5170525,0.48294753,-0.034104943,2019-2024,SP-015059
2023-02-14,0,0.7420989,0.2579011,-0.48419783,2019-2024,SP-015070
2023-03-06,0,0.978505,0.021494973,-0.95701003,2019-2024,SP-015070
2023-05-08,0,0.8498317,0.15016833,-0.6996634,2019-2024,SP-015070
2023-08-14,1,0.6231851,0.3768149,-0.2463702,2019-2024,SP-015070
2023-11-08,1,0.30509472,0.6949053,0.38981056,2019-2024,SP-015070
2024-01-15,0,0.6188947,0.38110527,-0.23778942,2019-2024,SP-015070
2023-08-04,1,0.09856713,0.9014329,0.80286574,2019-2024,SP-015082
2023-11-03,0,0.34946394,0.65053606,0.30107212,2019-2024,SP-015082
2023-03-08,1,0.04942572,0.9505743,0.90114856,2019-2024,SP-015083
2023-06-07,1,0.070610404,0.9293896,0.8587792,2019-2024,SP-015083
2023-09-06,1,0.40731215,0.59268785,0.18537569,2019-2024,SP-015083
2023-12-13,1,0.9231072,0.07689279,-0.8462144,2019-2024,SP-015083
2023-04-26,0,0.27677983,0.72322017,0.44644034,2019-2024,SP-015096
2023-06-14,1,0.27087766,0.72912234,0.45824468,2019-2024,SP-015096
2023-09-14,1,0.16512358,0.8348764,0.66975284,2019-2024,SP-015096
2023-12-14,0,0.040216565,0.95978343,0.91956687,2019-2024,SP-015096
2023-02-14,1,0.6943778,0.30562225,-0.38875553,2019-2024,SP-015211
2023-05-02,1,0.43329197,0.566708,0.13341606,2019-2024,SP-015211
2023-08-01,1,0.40584475,0.59415525,0.1883105,2019-2024,SP-015211
2023-11-07,1,0.41375238,0.5862476,0.17249525,2019-2024,SP-015211
2023-03-08,1,0.20269036,0.79730964,0.5946193,2019-2024,SP-015704
2023-05-02,1,0.29739386,0.70260614,0.40521228,2019-2024,SP-015704
2023-05-03,1,0.5867216,0.4132784,-0.1734432,2019-2024,SP-015704
2023-08-02,1,0.67149395,0.32850605,-0.3429879,2019-2024,SP-015704
2023-08-03,1,0.9535425,0.046457537,-0.90708494,2019-2024,SP-015704
2023-11-01,0,0.7704249,0.22957508,-0.5408498,2019-2024,SP-015704
2023-11-02,0,0.96846324,0.031536747,-0.9369265,2019-2024,SP-015704
2024-02-08,0,0.68907374,0.31092626,-0.37814748,2019-2024,SP-015704
2023-05-15,1,0.49978447,0.50021553,0.0004310608,2019-2024,SP-016426
2023-08-10,1,0.8419449,0.15805514,-0.68388975,2019-2024,SP-016426
2023-11-07,1,0.84588516,0.15411486,-0.6917703,2019-2024,SP-016426
2023-05-11,1,0.08640164,0.91359836,0.8271967,2019-2024,SP-016428
2023-08-03,1,0.452932,0.547068,0.094136,2019-2024,SP-016428
2023-05-09,1,0.0927577,0.9072423,0.8144846,2019-2024,SP-016431
2023-08-08,1,0.04687178,0.9531282,0.90625644,2019-2024,SP-016431
2023-11-08,1,0.02297306,0.97702694,0.9540539,2019-2024,SP-016431
2023-03-14,0,0.6592227,0.3407773,-0.3184454,2019-2024,SP-016528
2023-05-12,1,0.5703089,0.42969108,-0.14061785,2019-2024,SP-016528
2023-08-11,0,0.36582553,0.63417447,0.26834893,2019-2024,SP-016528
2023-11-14,0,0.07375449,0.9262455,0.852491,2019-2024,SP-016528
2023-02-15,0,0.6440374,0.35596257,-0.28807485,2019-2024,SP-016582
2023-02-24,0,0.8299537,0.17004633,-0.65990734,2019-2024,SP-016582
2023-05-10,0,0.9148338,0.08516621,-0.82966757,2019-2024,SP-016582
2023-08-02,0,0.94679874,0.05320126,-0.8935975,2019-2024,SP-016582
2023-08-03,0,0.60689414,0.39310583,-0.2137883,2019-2024,SP-016582
2023-11-01,0,0.4405347,0.5594653,0.11893058,2019-2024,SP-016582
2023-03-21,0,0.57738006,0.4226199,-0.15476015,2019-2024,SP-016732
2023-05-12,0,0.6862993,0.31370065,-0.37259868,2019-2024,SP-016732
2023-08-10,0,0.432258,0.567742,0.13548398,2019-2024,SP-016732
2023-11-14,1,0.40101278,0.5989872,0.19797444,2019-2024,SP-016732
2023-03-03,0,0.42136633,0.57863367,0.15726733,2019-2024,SP-017449
2023-05-04,0,0.9836724,0.016327593,-0.96734476,2019-2024,SP-017449
2023-08-03,0,0.9516706,0.048329394,-0.9033412,2019-2024,SP-017449
2023-11-09,0,0.9103252,0.08967477,-0.82065046,2019-2024,SP-017449
2023-02-21,0,0.25307876,0.74692124,0.49384248,2019-2024,SP-018033
2023-05-09,0,0.7738284,0.22617164,-0.5476568,2019-2024,SP-018033
2023-08-08,1,0.49931312,0.5006869,0.0013737679,2019-2024,SP-018033
2023-11-14,1,0.09632194,0.90367806,0.8073561,2019-2024,SP-018033
2023-02-15,1,0.28537804,0.71462196,0.42924392,2019-2024,SP-018296
2023-04-24,1,0.24792469,0.7520753,0.5041506,2019-2024,SP-018296
2023-07-20,1,0.31987,0.68013,0.36026,2019-2024,SP-018296
2023-11-08,1,0.08679581,0.9132042,0.8264084,2019-2024,SP-018296
2023-03-14,1,0.06310618,0.9368938,0.87378764,2019-2024,SP-018314
2023-05-03,1,0.6980272,0.3019728,-0.3960544,2019-2024,SP-018314
2023-08-02,1,0.9521607,0.047839284,-0.90432143,2019-2024,SP-018314
2023-11-07,1,0.14168549,0.8583145,0.716629,2019-2024,SP-018314
2023-02-22,1,0.09189367,0.9081063,0.81621265,2019-2024,SP-018351
2023-05-02,0,0.7663642,0.23363575,-0.53272843,2019-2024,SP-018351
2023-08-02,0,0.748738,0.251262,-0.49747598,2019-2024,SP-018351
2023-10-31,0,0.7523781,0.24762192,-0.5047562,2019-2024,SP-018351
2023-02-23,0,0.24046075,0.75953925,0.5190785,2019-2024,SP-018513
2023-05-05,0,0.088291526,0.9117085,0.82341695,2019-2024,SP-018513
2023-08-03,0,0.07889807,0.9211019,0.84220386,2019-2024,SP-018513
2023-02-14,1,0.7079567,0.2920433,-0.41591337,2019-2024,SP-018700
2023-05-08,1,0.8063292,0.19367082,-0.6126584,2019-2024,SP-018700
2023-08-08,0,0.72535604,0.27464396,-0.45071208,2019-2024,SP-018700
2023-11-06,0,0.8017436,0.19825634,-0.60348725,2019-2024,SP-018700
2023-02-22,0,0.98576486,0.014235166,-0.9715297,2019-2024,SP-019191
2023-03-13,0,0.94537944,0.054620575,-0.8907589,2019-2024,SP-019359
2023-05-11,0,0.9895798,0.010420185,-0.9791596,2019-2024,SP-019359
2023-07-27,0,0.943623,0.056377,-0.887246,2019-2024,SP-019359
2023-11-06,1,0.30599958,0.6940004,0.38800085,2019-2024,SP-019359
2023-05-04,0,0.9694675,0.030532474,-0.93893504,2019-2024,SP-019696
2023-03-29,0,0.14320248,0.8567975,0.71359503,2019-2024,SP-019901
2023-05-11,1,0.098906636,0.90109336,0.8021867,2019-2024,SP-019901
2023-08-10,1,0.07508248,0.9249175,0.84983504,2019-2024,SP-019901
2023-11-09,1,0.14360464,0.85639536,0.7127907,2019-2024,SP-019901
2023-02-28,1,0.050305724,0.9496943,0.89938855,2019-2024,SP-019987
2023-04-25,1,0.27793056,0.72206944,0.44413888,2019-2024,SP-019987
2023-07-26,1,0.15192974,0.84807026,0.6961405,2019-2024,SP-019987
2023-10-25,1,0.15746176,0.84253824,0.6850765,2019-2024,SP-019987
2023-02-16,1,0.9243518,0.07564819,-0.8487036,2019-2024,SP-020007
2023-05-03,1,0.8021864,0.19781356,-0.60437286,2019-2024,SP-020007
2023-08-01,1,0.21229273,0.78770727,0.57541454,2019-2024,SP-020007
2023-11-07,0,0.5627096,0.43729037,-0.12541926,2019-2024,SP-020007
2023-06-22,1,0.14891374,0.85108626,0.7021725,2019-2024,SP-020096
2023-08-09,1,0.026417077,0.9735829,0.94716585,2019-2024,SP-020096
2023-11-09,1,0.3302437,0.6697563,0.3395126,2019-2024,SP-020096
2024-02-09,0,0.52208626,0.4779137,-0.044172555,2019-2024,SP-020096
2023-02-23,0,0.9500638,0.049936187,-0.90012765,2019-2024,SP-020214
2023-05-04,0,0.98038733,0.019612651,-0.96077466,2019-2024,SP-020214
